T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_24_ACS_Total,T_24_ACS_White,T_24_ACS_Hispanic,T_24_ACS_Black,T_24_ACS_Asian,T_24_ACS_Native,T_24_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc
95295,77846,6691,4734,3651,2026,330,99315,79858,6847,5767,4612,1603,347,66981,56265,3886,2831,2302,1266,189,69070,59147,3621,3178,2046,593,95,2621,1494,93,95,38575,12875,23058,48391,19491,27670,53171,21771,30706,1910,10150,13665,6381,17633,8196,1023,1002
102122,74486,17057,2750,1369,6811,315,102153,73722,17974,3226,1461,7294,256,75711,58762,10337,1581,911,4118,195,70646,58191,6947,1465,654,3204,0,1246,475,2562,0,41753,12049,27505,46590,14897,30760,45332,13909,30877,7549,22049,14167,7251,10732,3560,689,411
93776,83791,4178,1544,1738,2042,102,96154,85345,4727,1667,1585,1653,216,70928,64464,2566,997,1117,1402,66,71412,66159,2506,803,742,1023,16,568,461,359,16,43360,12222,28659,52105,16827,34135,54102,17527,35882,3806,17659,13056,7375,13959,5922,1299,973
99435,77669,7890,6435,4999,2782,176,102240,78655,8795,6947,5579,2477,375,76845,62499,4995,3689,3751,1756,124,75430,63920,4145,3703,2660,803,27,2822,2106,300,27,40766,19841,17792,47734,26119,20311,48311,25748,21703,4331,14456,13386,7645,14716,5931,1200,1652
97127,67226,11785,8513,7383,2918,169,98312,68837,12930,8339,6674,2548,253,75479,54989,7809,5296,5499,1962,109,71870,57248,5850,3997,3725,775,42,3155,3111,264,42,29887,14269,13410,35279,18990,15363,34396,17594,16214,6130,13422,10884,6166,11545,3990,615,848
97559,81585,5272,4686,4079,1904,170,95980,79723,4973,4428,5333,1465,137,75590,65122,3321,2841,2776,1273,124,72898,64373,3001,2445,2244,856,4,1739,1811,195,4,48842,23520,22253,55779,30470,24143,55668,30188,24738,2460,11214,12614,7398,19720,7970,2019,2019
101216,82620,14323,1497,750,2157,81,102566,82336,15764,2260,1007,2268,48,75150,63656,8794,886,470,1397,46,71681,64405,5477,518,522,728,9,326,223,236,9,44785,8893,33768,51120,11239,38928,51871,11150,40183,6288,20998,15324,9380,11231,3774,632,303
95754,84072,7352,1162,887,2059,184,95991,83847,8007,1550,1092,1457,297,73327,66077,4379,637,617,1322,101,71784,66237,3371,650,526,794,22,341,407,194,22,43281,10508,30266,48814,12813,34891,47803,12283,34878,5561,21079,14079,9068,10889,3319,570,594
99050,84383,8941,1626,1157,3005,189,98815,83892,9630,1657,1272,2755,202,75073,65784,5526,1046,814,1807,142,71639,65548,3695,565,531,1255,9,286,267,810,9,44877,7234,35390,50181,9066,40120,48931,8574,39795,4483,21376,13869,9926,10809,3478,650,646
97495,68310,22988,2969,1614,2634,128,96948,66342,24354,3683,1578,1473,185,72373,54074,14240,1739,1124,1699,90,64321,53302,8245,1243,899,569,57,1163,717,95,57,36768,9890,25025,40852,12229,27785,38931,11352,27092,7746,18993,14971,6654,9396,3699,883,598
102342,81470,15128,2506,1336,2096,210,102804,80623,16040,3352,1701,1618,176,76986,63688,9472,1475,991,1373,124,74332,63955,7432,1565,648,567,62,1229,513,159,62,43978,8995,32491,48751,11472,36251,47752,11058,36169,7082,18152,15468,6997,12735,3959,747,1015
102301,91483,6501,1415,799,1827,175,100995,89637,6893,1383,920,1867,108,78637,71766,3973,756,544,1296,113,76365,71252,3388,563,365,699,10,446,287,213,10,50308,7573,40477,54486,9303,44210,52733,8995,43174,4883,22306,18932,9589,11146,3377,875,363
98197,79101,12425,1263,1028,4664,210,97624,77759,13281,1564,1187,4197,148,75833,63425,7928,745,682,2948,123,73920,63002,7355,603,645,2167,50,373,500,1314,50,45718,7669,35705,49397,9602,38811,47191,9059,37625,5822,19970,17747,7643,11191,3400,853,721
101881,89180,3030,2357,4364,1992,182,104038,91038,3160,2926,4635,1266,57,82488,73424,2037,1492,3175,1562,116,83096,76103,2180,1402,2565,523,4,944,1778,13,4,51740,25049,22876,57365,31674,24578,59502,32287,26325,4167,19515,13683,9148,18273,7443,896,724
96302,87757,2611,1260,2509,1290,99,97295,87205,3224,1675,2763,999,169,80491,74328,1766,854,1818,971,73,80688,75562,2152,761,1412,492,91,478,1100,9,91,60074,29304,27284,65641,36238,28578,65431,34481,30047,2939,17894,11911,7002,21717,9787,1802,1349
96690,86934,2519,1444,3294,1517,128,97826,87754,3010,1320,3273,659,25,79387,72135,1798,1109,2425,1168,97,79031,73924,1903,671,1986,542,4,400,1455,50,4,56632,29166,23504,59581,34264,24301,62128,34547,26607,2515,14343,10998,6395,17857,9035,1623,1572
99664,71557,12927,4366,8528,1583,158,99897,70770,13489,6052,9091,959,14,80268,60494,8714,3026,6163,1185,108,73903,59558,7083,2561,4162,501,4,1976,3692,43,4,48253,25219,19786,51106,30047,20274,51259,28468,22004,5295,17941,12862,6380,18899,8809,1127,1468
100212,92875,1780,1030,1349,2206,116,101705,94701,2288,1224,1324,860,83,83169,78025,1138,557,969,1684,63,83948,80112,1598,716,798,559,28,470,604,58,28,56518,21465,31446,62476,27201,34359,66252,27975,37521,4714,22805,15125,8919,14400,7919,1098,860
94179,86667,2008,1319,1398,1990,88,94780,87465,1874,1923,1096,1042,104,79181,73553,1400,987,1004,1524,64,78998,75064,1251,1197,633,750,0,962,435,165,0,50796,23838,23191,54538,28903,24749,56708,28419,27457,5974,22307,13884,6827,13260,6790,1571,1139
93868,82626,2423,1527,3654,2429,120,95965,84255,2633,1598,4305,1607,314,77927,69417,1762,1079,2810,1859,84,78343,71986,1950,944,2208,962,17,736,1706,87,17,51808,28198,19993,54904,32769,21199,56624,32720,22921,5098,20526,9511,5979,14141,8579,2282,2840
95288,85845,3446,1584,1986,1374,90,96615,87660,3595,1403,2103,689,224,75315,68927,2188,977,1360,1030,62,75873,70850,2444,807,1388,283,9,448,1069,14,9,51916,20080,28796,56621,25284,30497,58045,24697,32641,3316,18308,12378,7417,16686,7819,922,685
94000,82138,4439,1715,3761,1203,102,95507,82909,4309,2454,3969,910,65,74964,66797,2931,1093,2622,876,62,74302,67928,2226,1419,2261,443,12,840,1850,109,12,51093,19523,28701,56598,24814,30986,58101,24094,33267,2776,18075,11676,6430,17696,8961,1340,765
96748,71862,11386,7149,4951,1778,138,96823,70490,13481,6929,5048,1405,194,78955,61668,7640,4527,3867,1394,104,73752,61645,5400,3186,2766,419,31,2553,2462,64,31,42468,21256,18332,44715,25063,18833,44312,23662,19992,7849,19386,12385,5806,15903,5950,995,617
101534,89362,2767,3014,3350,2042,101,102879,91297,3140,3007,3442,1264,445,82462,73785,1892,1995,2411,1546,66,82166,75812,2084,1248,1791,689,89,1078,1261,61,89,54788,26562,24447,58868,32198,25680,60667,31889,27850,4995,20865,11911,7913,15635,8378,2202,1204
